ContractID,LocationID,LocationName,LocationGroup,IsPrimary,IsTenant,ISOBIN,InceptionDate,ExpirationDate,Street,City,County,SubArea2,State,CRESTA,PostalCode,COUNTRYISO,Latitude,Longitude,BuildingValue,OtherValue,ContentsValue,TimeElementValue,DaysCovered,Currency,RiskCount,LocPremium,ConstructionCodeType,ConstructionCode,ConstructionOther,OccupancyCodeType,OccupancyCode,YearBuilt,NumberOfStories,GrossArea,GrossAreaUnit,LocPerils1,LocLimitType1,LimitBldg1,LimitOther1,LimitContent1,LimitTime1,DeductType1,DeductBldg1,DeductOther1,DeductContent1,DeductTime1,SublimitArea1,LocPerils2,LocLimitType2,LimitBldg2,LimitOther2,LimitContent2,LimitTime2,DeductType2,DeductBldg2,DeductOther2,DeductContent2,DeductTime2,SublimitArea2,LocPerils3,LocLimitType3,LimitBldg3,LimitOther3,LimitContent3,LimitTime3,DeductType3,DeductBldg3,DeductOther3,DeductContent3,DeductTime3,SublimitArea3,LocPerils4,LocLimitType4,LimitBldg4,LimitOther4,LimitContent4,LimitTime4,DeductType4,DeductBldg4,DeductOther4,DeductContent4,DeductTime4,SublimitArea4,LocPerils5,LocLimitType5,LimitBldg5,LimitOther5,LimitContent5,LimitTime5,DeductType5,DeductBldg5,DeductOther5,DeductContent5,DeductTime5,SublimitArea5,FloorOfInterest,FloorArea,FloorAreaUnitCode,FloorsOccupied,BuildingCondition,BuildingShape,Torsion,SoftStory,ShapeIrregularity,SpecialConstruction,Retrofit,ShortColumn,Ornamentation,WaterHeater,Redundancy,TallOneStory,Equipment,SealofApproval,IsValueType,LatticeType,MultiStoryHallType,Welding,BasementLevelCount,BasementFinishType,FirstFloorHeight,ServiceEquipmentProtection,FIRMCompliance,ContentVulnerability,Certified Structures (IBHS),Fire Sprinklers,RoofGeometry,RoofPitch,RoofCover,RoofDeck,RoofCoverAttachment,RoofDeckAttachment,RoofAnchorage,RoofYearBuilt,Tanks,RoofHailImpactResistance,Chimney,WallType,WallSiding,GlassType,GlassPercent,WindowProtection,ExternalDoors,BuildingExteriorOpenings,BrickVeneer,RoofAttachedStructure,TransitionInSRC,ColdFormedtube,ColumnBasement,FoundationConnection,FoundationType,InternalPartition,AttachedStructures,AppurtenantStructures,Pounding,TreeExposure,SmallDebris,LargeMissile,TerrainRoughness,AdjacentBuildingHeight,CustomFloodSOP,CustomFloodZone,CustomElevation,BaseFloodElevation,ProjectCompletion,ProjectPhaseCode,UDF1,UDF2,UDF3,UDF4,UDF5,MSB_Occupancy_Mapping,MSB_Construction_mapping,MSB_Building_Value,MSB_Value_Per_Sq_Ft,MSB $ Deviation,MSB % Deviation,Location_sent,Parameter_for_No,Location_ID,Report_ID,Elevation,FloodScopeDepth,FloodScopeRtp,HeightAboveInlandWater,HeightAboveOcean,HeightOfMinSurge,InlandWaterDistance,IsInCoverage,MinStormCat,OceanDistance,RiskScore,StormFrequency,SurgeCat0Height,SurgeCat1Height,SurgeCat2Height,SurgeCat3Height,SurgeCat4Height,SurgeCat5Height,SurgeFloodDepth,WorldFloodDepth,WorldFloodRtp,heightAboveFloodScope100,floodScope100Distance,Indicator,Error
2023_ Salt River Pima,1,SRPMIC,,,,,7/1/2023,7/1/2024,10040 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.488247,-111.86405,41067660.18,,6418260.949,11181822.67,365,USD,1,,AIR,131,,AIR,1001,2017,3,66000,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,1,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,2600,6,20018784.81,303.3149214,-21048875.36,-51.25413835,Yes,,21324331,ESTIMATE-1319504,380.907,0,,0.413,,,952.134,1,Outside Coverage Area,,32,,,,,,,,0,0,,-1.263,1015.579,Ecopia,
2023_ Salt River Pima,2,SRPMIC,,,,,7/1/2023,7/1/2024,10047 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.48719,-111.864044,4692104.223,,967692.0081,1332749.504,365,USD,1,,AIR,111,,AIR,317,,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,379.518,0,,0.516,,,952.568,1,Outside Coverage Area,,32,,,,,,,,0,0,,-2.652,1098.379,Ecopia,
2023_ Salt River Pima,3,SRPMIC,,,,,7/1/2023,7/1/2024,10061 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.48719,-111.864044,36029623.07,,3632531.693,9339508.866,365,USD,1,,AIR,152,,AIR,315,2009,0,90931,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,2100,3,18111719.69,199.1809139,-17917903.39,-49.73103202,Yes,,21324332,ESTIMATE-1319504,379.518,0,,0.516,,,952.568,1,Outside Coverage Area,,32,,,,,,,,0,0,,-2.652,1098.379,Ecopia,
2023_ Salt River Pima,4,SRPMIC,,,,,7/1/2023,7/1/2024,10079 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.48703,-111.86342,24498140.76,,3119836.512,6503387.047,365,USD,1,,AIR,152,,AIR,362,2009,0,60837,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Occupancy mapping does not exist in master table ,,,379.554,0,,0.562,,,1010.541,1,Outside Coverage Area,,32,,,,,,,,0,0,,-2.616,1151.374,Ecopia,
2023_ Salt River Pima,5,SRPMIC,,,,,7/1/2023,7/1/2024,10091 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.48703,-111.86342,7238277.579,,753247.7079,1881817.105,365,USD,1,,AIR,111,,AIR,315,,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,379.554,0,,0.562,,,1010.541,1,Outside Coverage Area,,32,,,,,,,,0,0,,-2.616,1151.374,Ecopia,
2023_ Salt River Pima,6,SRPMIC,,,,,7/1/2023,7/1/2024,10121 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.487125,-111.8625,3466082.232,,236566.9404,871887.1926,365,USD,1,,AIR,111,,AIR,343,1976,0,15300,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,2600,2,3903120.088,255.1058881,437037.8564,12.60898695,Yes,,21324333,ESTIMATE-1319504,380.122,0,,1.122,,,1096.054,1,Outside Coverage Area,,32,,,,,,,,0,0,,-2.048,1205.881,Ecopia,
2023_ Salt River Pima,7,SRPMIC,,,,,7/1/2023,7/1/2024,10128 EARLL,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.484802,-111.86261,823845.9056,,103278.401,218316.0681,365,USD,1,,AIR,191,,AIR,343,1976,0,5700,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,1,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Construction mapping does not exist in master table ,,,378.751,0,,0.522,,,1085.563,1,Outside Coverage Area,,32,,,,,,,,0,0,,-3.419,1385.322,Ecopia,
2023_ Salt River Pima,8,SRPMIC,,,,,7/1/2023,7/1/2024,10133 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.48728,-111.861984,342477.2829,,153387.9973,116764.6641,365,USD,1,,AIR,101,,AIR,1002,1997,0,500,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,2600,1,196817.9625,393.6359249,-145659.3204,-42.53108971,Yes,,21324334,ESTIMATE-1319504,380.296,0,,1.25,,,1144.027,1,Outside Coverage Area,,32,,,,,,,,0,0,,-1.874,1230.74,Ecopia,
2023_ Salt River Pima,9,SRPMIC,,,,,7/1/2023,7/1/2024,10134 EARLL,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.484314,-111.86243,320615.0943,,9870.60915,77821.64572,365,USD,1,,AIR,100,,AIR,343,,0,1900,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Construction mapping does not exist in master table ,,,378.368,0,,0.18,,,1102.236,1,Outside Coverage Area,,32,,,,,,,,0,0,,-3.802,1437.829,Ecopia,
2023_ Salt River Pima,10,SRPMIC,,,,,7/1/2023,7/1/2024,10137 OSBORN,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.486305,-111.86144,1444126.094,,304179.6075,411685.0609,365,USD,1,,AIR,111,,AIR,343,1983,0,7200,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,1,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,2600,2,1968319.747,273.3777427,524193.6533,36.29832986,Yes,,21324335,ESTIMATE-1319504,379.552,0,,0.697,,,1194.473,1,Outside Coverage Area,,32,,,,,,,,0,0,,-2.618,1339.951,Ecopia,
